,,FISHBASE,,,ALTERNATIVE,,,
species,family,depth_min,depth_max,depth_cat,depth_min,depth_max,depth_cat,source
Altrichthys_curatus,Pomacentridae,1,10,shallow,1,10,shallow,Bernardi et al. 2016
Amphiprion_leucokranos,Pomacentridae,2,12,shallow,1,15,shallow,FAO
Chromis_degruyi,Pomacentridae,85,120,shallow,85,120,shallow,Pyle et al. 2008
Chromis_weberi,Pomacentridae,3,40,shallow,3,40,shallow,Fricke et al. 2011
Dascyllus_flavicaudus,Pomacentridae,3,40,shallow,2,40,shallow,Fricke et al. 2011
Plectroglyphidodon_leucozonus,Pomacentridae,0,6,shallow,0,6,shallow,Fricke et al. 2011
Pomacentrus_agassizii,Pomacentridae,1,4,shallow,,"""inshore lagoons""",shallow,McClanahan et al. 2021
Pomacentrus_philippinus,Pomacentridae,1,12,shallow,1,12,shallow,Fricke et al. 2011
Pomachromis_richardsoni,Pomacentridae,5,25,shallow,2,25,shallow,Fricke et al. 2011
Scomberomorus_tritor,Scombridae,1,40,shallow,1,40,shallow,IUCN
Lepidorhombus_boscii,Scophthalmidae,7,800,intermediate,7,800,intermediate,IUCN
Scorpaenopsis_cirrosa,Scorpaenidae,3,91,shallow,37,91,shallow,FAO
Sebastes_baramenuke,Sebastidae,100,500,intermediate,100,760,intermediate,GBIF
Sebastes_constellatus,Sebastidae,24,274,intermediate,16,275,intermediate,Val Kells et al. 2016
Sebastes_eos,Sebastidae,76,366,intermediate,45,365,intermediate,Val Kells et al. 2016
Sebastes_hopkinsi,Sebastidae,18,183,shallow,60,119,shallow,Love et al. 1990
Sebastes_zacentrus,Sebastidae,26,476,intermediate,24,444,intermediate,NOAA
Cephalopholis_miniata,Serranidae,2,150,shallow,2,150,shallow,Fricke et al. 2011
Paranthias_colonus,Serranidae,10,70,shallow,0,120,shallow,IUCN
Aseraggodes_kobensis,Soleidae,80,100,shallow,80,100,shallow,IUCN
Solea_senegalensis,Soleidae,12,65,shallow,1,100,shallow,FAO (https://www.fao.org/fishery/en/culturedspecies/solea_spp/en)
Lumpenella_longirostris,Stichaeidae,25,1140,deep,24,1195,deep,Val Kells et al. 2016
Tactostoma_macropus,Stomiidae,30,2000,deep,30,2000,deep,IUCN
Hippocampus_trimaculatus,Syngnathidae,0,100,shallow,10,100,shallow,IUCN
Kaupus_costatus,Syngnathidae,0,50,shallow,0,50,shallow,IUCN
Microphis_brachyurus,Syngnathidae,0,5,shallow,0,5,shallow,Fricke et al. 2011
Synodus_binotatus,Synodontidae,1,88,shallow,1,88,shallow,Fricke et al. 2011
Aphanopus_intermedius,Trichiuridae,300,1350,deep,200,1700,deep,Fricke et al. 2011
Gymnelus_viridis,Zoarcidae,0,320,intermediate,0,256,intermediate,Coad and Reist 2004
